starttime	seconds	ctime	dtime	ttime	wait
Fri Oct 13 20:17:26 2023	1697253446	0	207	207	201
Fri Oct 13 20:17:32 2023	1697253452	2	208	210	195
Fri Oct 13 20:17:32 2023	1697253452	0	211	211	99
Fri Oct 13 20:17:32 2023	1697253452	0	211	211	118
Fri Oct 13 20:17:28 2023	1697253448	9	202	212	191
Fri Oct 13 20:17:24 2023	1697253444	0	212	212	207
Fri Oct 13 20:17:26 2023	1697253446	0	213	213	173
Fri Oct 13 20:17:29 2023	1697253449	0	216	216	134
Fri Oct 13 20:17:32 2023	1697253452	2	215	216	206
Fri Oct 13 20:17:29 2023	1697253449	0	217	217	121
Fri Oct 13 20:17:27 2023	1697253447	0	217	217	198
Fri Oct 13 20:17:29 2023	1697253449	0	218	218	204
Fri Oct 13 20:17:29 2023	1697253449	0	219	219	86
Fri Oct 13 20:17:29 2023	1697253449	2	221	223	76
Fri Oct 13 20:17:29 2023	1697253449	0	223	223	206
Fri Oct 13 20:17:26 2023	1697253446	0	225	225	173
Fri Oct 13 20:17:29 2023	1697253449	1	226	226	74
Fri Oct 13 20:17:32 2023	1697253452	0	227	227	218
Fri Oct 13 20:17:32 2023	1697253452	1	227	227	117
Fri Oct 13 20:17:32 2023	1697253452	0	227	227	164
Fri Oct 13 20:17:32 2023	1697253452	0	227	227	121
Fri Oct 13 20:17:27 2023	1697253447	0	229	229	220
Fri Oct 13 20:17:27 2023	1697253447	0	232	232	225
